"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.032","excluded",9,2,6.80025622685035,7.3135241735428,6.2869882801579,10
"0.032","excluded",10,2,6.92569551632274,7.38993522341612,6.46145580922936,11.25
"0.032","excluded",11,2,7.03604338728217,7.66931011721397,6.40277665735037,12.5
"0.032","excluded",12,2,7.0055921132679,7.56921198322272,6.44197224331308,13.75
"0.032","excluded",13,2,8.52509065153399,9.21504037090978,7.8351409321582,15
"0.032","excluded",1,1,8.83282551869867,9.61791581727866,8.04773522011868,0
"0.032","forward",2,1,9.40926039220672,10.2201500308501,8.59837075356329,1.25
"0.032","forward",3,1,8.79567826757696,9.53348863566835,8.05786789948557,2.5
"0.032","forward",4,1,9.21203989531671,10.3256134222441,8.09846636838935,3.75
"0.032","backward",5,1,7.05147444039352,7.67518845080407,6.42776042998297,5
"0.032","backward",6,1,5.97693971840487,6.6241842272382,5.32969520957154,6.25
"0.032","backward",7,1,5.89848699096181,6.64126270016545,5.15571128175817,7.5
"0.032","excluded",8,1,7.22710760444868,7.90726467447489,6.54695053442247,8.75
"0.032","excluded",9,1,7.74173516599907,8.49149139177231,6.99197894022583,10
"0.032","excluded",10,1,6.51519966201062,7.14843087486817,5.88196844915308,11.25
"0.032","excluded",11,1,7.03299781553562,7.60457539006807,6.46142024100316,12.5
"0.032","excluded",12,1,7.34316983272606,8.026080432793,6.66025923265912,13.75
"0.032","excluded",13,1,8.96308469572069,9.62492816009762,8.30124123134377,15
"0.032","excluded",1,3,9.25844605372939,10.3343917696539,8.1825003378049,0
"0.032","forward",2,3,8.37655902114466,9.00809946815024,7.74501857413908,1.25
"0.032","forward",3,3,9.64004169724853,10.5111614098405,8.76892198465652,2.5
"0.032","forward",4,3,8.16570489383805,8.88034446603962,7.45106532163648,3.75
"0.032","backward",5,3,5.81858955021948,6.50246171764852,5.13471738279043,5
"0.032","backward",6,3,6.42565850534175,7.06166884063367,5.78964817004983,6.25
"0.032","backward",7,3,6.69240387453301,7.38523238220961,5.99957536685642,7.5
"0.032","excluded",8,3,7.68306517159619,8.36287266533025,7.00325767786213,8.75
"0.032","excluded",9,3,6.78938208426186,7.35676080850704,6.22200336001668,10
"0.032","excluded",10,3,8.62190740599596,9.45564563051935,7.78816918147257,11.25
"0.032","excluded",11,3,6.98365887868867,7.61233807517761,6.35497968219972,12.5
"0.032","excluded",12,3,7.85823588247473,8.48017420257437,7.23629756237508,13.75
"0.032","excluded",13,3,7.68634698092773,8.51134598461347,6.86134797724198,15
"0.064","excluded",1,3,7.53053677259536,8.46098554035266,6.60008800483806,0
"0.064","forward",2,3,7.5706421952468,8.19384538094094,6.94743900955265,1.25
"0.064","forward",3,3,8.85340269688666,9.64760352710109,8.05920186667224,2.5
