"period","tITI","seq_tr","tvalue","pvalue","df","mean_position","sd_position","sem_upper","sem_lower","pvalue_adjust","pvalue_rounded","pvalue_adjust_rounded","significance"
"backward","2.048",12,6.92791662157118,4.7339512748966e-08,35,3.4962962962963,0.429822981487103,3.56793345987748,3.42465913271511,1.84624099720967e-07,"p < .001","p < .001","***"
"backward","2.048",13,-1.49925486571869,0.142774268250348,35,2.90185185185185,0.392787712319077,2.9673164705717,2.83638723313201,0.179619240702051,"p = .14","p = .18",""
"excluded","0.032",1,-0.279871065112954,0.781223873242592,35,2.98148148148148,0.397008211857371,3.04764951679104,2.91531344617192,NA,"p = .78","p = NA",NA
"excluded","0.032",8,-0.545516325854121,0.588858527709986,35,2.96111111111111,0.4277293314146,3.03239933301354,2.88982288920868,NA,"p = .59","p = NA",NA
"excluded","0.032",9,-0.79853104001181,0.429947792809135,35,2.93333333333333,0.500919788908998,3.01681996481817,2.8498467018485,NA,"p = .43","p = NA",NA
"excluded","0.032",10,-0.781454100952947,0.439789802258742,35,2.95925925925926,0.312807168260242,3.01139378730263,2.90712473121589,NA,"p = .44","p = NA",NA
"excluded","0.032",11,-0.672764462789362,0.505515035612694,35,2.95740740740741,0.379858880321937,3.0207172207944,2.89409759402042,NA,"p = .51","p = NA",NA
"excluded","0.032",12,0.192044076430089,0.848817581061339,35,3.01111111111111,0.347142530537439,3.06896819953402,2.9532540226882,NA,"p = .85","p = NA",NA
"excluded","0.032",13,-1.78967781162797,0.082161621642127,35,2.88333333333333,0.391131853706812,2.9485219756178,2.81814469104886,NA,"p = .08","p = NA",NA
"excluded","0.064",1,0.824435030281994,0.415275773487811,35,3.05,0.36388555675198,3.110647592792,2.989352407208,NA,"p = .42","p = NA",NA
"excluded","0.064",8,-0.412955276061808,0.682158398608898,35,2.97222222222222,0.403594956471075,3.03948804830073,2.90495639614371,NA,"p = .68","p = NA",NA
