"seq_tr","change","position","mean_probability","sem_upper","sem_lower"
8,6,5,10.4816418224563,12.3366816621677,8.6266019827449
9,6,5,8.66763887389463,10.0779132852584,7.25736446253082
10,6,5,10.6641913357895,12.4433747936218,8.88500787795711
11,6,5,12.6557027790808,14.7378867738269,10.5735187843346
12,6,5,13.2528768400919,15.2852513381728,11.2205023420111
13,6,5,12.6000501184889,14.356168660377,10.8439315766008
1,3,1,8.88311018515755,10.6282402180351,7.13798015228004
2,3,1,12.5809050456433,14.5710846476984,10.5907254435882
3,3,1,19.9552336834608,22.0204965542954,17.8899708126262
4,3,1,19.2563898518591,20.8726980186219,17.6400816850963
5,3,1,15.0964518147769,16.9907366492852,13.2021669802685
6,3,1,9.68064120748784,11.3963015997728,7.9649808152029
7,3,1,12.0881244389938,13.7113791203552,10.4648697576324
8,3,1,13.4946007720142,15.3962771916939,11.5929243523345
9,3,1,14.0407039552341,16.2619064135048,11.8195014969635
10,3,1,11.7155765859914,13.4098214587667,10.0213317132161
11,3,1,8.27046096920358,9.43208006700339,7.10884187140376
12,3,1,9.38037168132277,10.8365712068242,7.92417215582132
13,3,1,8.00356757749637,9.38979686894929,6.61733828604346
1,16,4,13.1362195839694,15.2244479206578,11.0479912472809
2,16,4,9.10244600545738,10.7238186651847,7.48107334573006
3,16,4,9.49624883205877,11.0612749038036,7.9312227603139
4,16,4,6.48672070665818,7.78139568091342,5.19204573240295
5,16,4,4.95590573020505,6.07026412940825,3.84154733100185
6,16,4,5.00805956110652,6.09214687498289,3.92397224723016
7,16,4,7.55846264529827,9.24794081120175,5.8689844793948
8,16,4,11.3885767279954,13.0403042219331,9.73684923405763
9,16,4,11.0789197151989,13.0519528302968,9.10588660010106
10,16,4,13.0556640554545,15.0380345280815,11.0732935828275
11,16,4,13.9702224398183,16.1142397232604,11.8262051563763
12,16,4,13.2089481168427,15.2604932790856,11.1574029545997
13,16,4,13.2379188516014,15.365635018267,11.1102026849357
1,7,5,13.9022049237332,16.0897997657405,11.714610081726
2,7,5,14.8130680751737,16.6055393087415,13.0205968416059
3,7,5,9.8355907095206,11.3537316680483,8.31744975099294
4,7,5,6.68619673202611,8.25572213610519,5.11667132794703
5,7,5,5.78824604773619,7.17318559833698,4.40330649713541
6,7,5,8.07879334624498,9.73331549960215,6.42427119288781
7,7,5,10.6150672370072,12.5833830155711,8.64675145844322
8,7,5,9.47865262641285,10.985481755963,7.97182349686267
9,7,5,10.3097820670923,11.8707793512303,8.74878478295432
10,7,5,8.93303161055974,10.574341937616,7.29172128350352
11,7,5,10.5795067969478,12.2098696446678,8.94914394922782
