"speed","time","mean_difference","sem_upper","sem_lower"
0.064,7.4,-0.000403517610230901,-0.000122243889435479,-0.000684791331026323
0.064,7.5,-0.000164059048311407,-4.81245634288257e-05,-0.000279993533193988
0.064,7.6,0,0,0
0.064,7.7,0,0,0
0.064,7.8,0,0,0
0.064,7.9,0,0,0
0.064,8,0,0,0
0.064,8.1,0,0,0
0.064,8.2,0,0,0
0.064,8.3,0,0,0
0.064,8.4,0,0,0
0.064,8.5,0,0,0
0.064,8.6,0,0,0
0.064,8.7,0,0,0
0.064,8.8,0,0,0
0.064,8.9,0,0,0
0.064,9,0,0,0
0.064,9.1,0,0,0
0.064,9.2,0,0,0
0.064,9.3,0,0,0
0.064,9.4,0,0,0
0.064,9.5,0,0,0
0.064,9.6,0,0,0
0.064,9.7,0,0,0
0.064,9.8,0,0,0
0.064,9.9,0,0,0
0.064,10,0,0,0
0.064,10.1,0,0,0
0.064,10.2,0,0,0
0.064,10.3,0,0,0
0.064,10.4,0,0,0
0.064,10.5,0,0,0
0.064,10.6,0,0,0
0.064,10.7,0,0,0
0.064,10.8,0,0,0
0.064,10.9,0,0,0
0.064,11,0,0,0
0.064,11.1,0,0,0
0.064,11.2,0,0,0
0.064,11.3,0,0,0
0.064,11.4,0,0,0
0.064,11.5,0,0,0
0.064,11.6,0,0,0
0.064,11.7,0,0,0
0.064,11.8,0,0,0
0.064,11.9,0,0,0
0.064,12,0,0,0
0.128,0,0,0,0
0.128,0.1,0,0,0
0.128,0.2,5.03704627608378e-05,0.000100740925521676,0
0.128,0.3,0.000331438196713957,0.000565004462155241,9.78719312726723e-05
0.128,0.4,0.00101561808965052,0.00149525266789459,0.000535983511406454
0.128,0.5,0.00268661073697964,0.00356623798097991,0.00180698349297938
0.128,0.6,0.00755430582210373,0.00909879708635206,0.00600981455785539
0.128,0.7,0.0159748610049951,0.0181582764135225,0.0137914455964677
0.128,0.8,0.0268315017826449,0.0294160482247093,0.0242469553405804
0.128,0.9,0.0376351332470128,0.0406911466093829,0.0345791198846427
0.128,1,0.048198479187578,0.0517224187300453,0.0446745396451106
0.128,1.1,0.0581808296866475,0.0621891728235483,0.0541724865497466
0.128,1.2,0.0676202598114042,0.0720296144544372,0.0632109051683712
0.128,1.3,0.0763314249719111,0.0810692910090787,0.0715935589347435
0.128,1.4,0.0841178310597245,0.0891351180993702,0.0791005440200789
0.128,1.5,0.0908840332314125,0.0961212101182792,0.0856468563445459
0.128,1.6,0.0965474243390244,0.101937768517036,0.0911570801610128
0.128,1.7,0.101039286231565,0.106511698899454,0.095566873563676
0.128,1.8,0.104305660306041,0.109787291252827,0.0988240293592546
0.128,1.9,0.106308025785593,0.111726880791186,0.100889170780001
0.128,2,0.107023776784309,0.112311454947006,0.101736098621613
0.128,2.1,0.106446491924185,0.111541210797955,0.101351773050415
0.128,2.2,0.104585993062018,0.109436099549471,0.0997358865745661
0.128,2.3,0.101468192523867,0.106036412869351,0.0968999721783828
0.128,2.4,0.0971347310927566,0.101403431489302,0.0928660306962116
0.128,2.5,0.0916424118118613,0.0956199581236251,0.0876648655000974
0.128,2.6,0.0850624374112624,0.0887899726871896,0.0813349021353352
0.128,2.7,0.0774794618033541,0.0810355552523128,0.0739233683543955
0.128,2.8,0.0689904685833533,0.0724886304550579,0.0654923067116488
0.128,2.9,0.0597034917825397,0.0632780814931953,0.056128902071884
0.128,3,0.0497361962207481,0.0535195965480385,0.0459527958934576
0.128,3.1,0.0392143366622032,0.043316208104156,0.0351124652202504
0.128,3.2,0.0282701165694444,0.0327669933543851,0.0237732397845037
0.128,3.3,0.0170404685520223,0.0219750240476679,0.0121059130563767
0.128,3.4,0.00566527960220903,0.0110503763243633,0.000280182880054718
0.128,3.5,-0.00571441511416738,0.000109406332201755,-0.0115382365605365
0.128,3.6,-0.0169582457962036,-0.0107275202179618,-0.0231889713744453
0.128,3.7,-0.027928304745186,-0.021338586049785,-0.034518023440587
0.128,3.8,-0.0384909024869581,-0.0316029055262749,-0.0453788994476413
0.128,3.9,-0.0485182601089714,-0.0414026279961321,-0.0556338922218108
0.128,4,-0.0578901156012899,-0.0506247669505112,-0.0651554642520685
0.128,4.1,-0.0664952232524331,-0.0591627770173625,-0.0738276694875037
0.128,4.2,-0.0742327266957582,-0.0669178890474636,-0.0815475643440528
0.128,4.3,-0.0810133880074024,-0.0738001954312723,-0.0882265805835325
0.128,4.4,-0.0867606572962867,-0.0797294581405056,-0.0937918564520677
0.128,4.5,-0.0914115694707795,-0.0846355905723848,-0.0981875483691743
0.128,4.6,-0.0949174572829496,-0.0884587418208609,-0.101376172745038
0.128,4.7,-0.0972444723052344,-0.0911488982598277,-0.103340046350641
0.128,4.8,-0.0983739081493303,-0.0926649507301619,-0.104082865568499
0.128,4.9,-0.0983023229553993,-0.0929733670508782,-0.10363127885992
0.128,5,-0.0970414609228324,-0.0920471942916674,-0.102035727553997
0.128,5.1,-0.0946179753831568,-0.0898673127733771,-0.0993686379929365
0.128,5.2,-0.0910729585930139,-0.0864289421780728,-0.0957169750079551
0.128,5.3,-0.0864612860131788,-0.0817542252917158,-0.0911683467346418
0.128,5.4,-0.0808507853025733,-0.0759041842754352,-0.0857973863297115
0.128,5.5,-0.0743212425603541,-0.0689793236404951,-0.0796631614802132
0.128,5.6,-0.0669877058811247,-0.0611404423861003,-0.0728349693761491
0.128,5.7,-0.0598451639288446,-0.0536806536785711,-0.0660096741791182
0.128,5.8,-0.053402629412247,-0.047224858872065,-0.059580399952429
0.128,5.9,-0.0474962718575595,-0.0414977809003395,-0.0534947628147796
0.128,6,-0.041997841164199,-0.0363291728500493,-0.0476665094783486
0.128,6.1,-0.0368870202689274,-0.0316651143492395,-0.0421089261886153
0.128,6.2,-0.03185759632988,-0.0271255600420143,-0.0365896326177456
0.128,6.3,-0.0266988971055984,-0.022416269231996,-0.0309815249792009
0.128,6.4,-0.0216416514421393,-0.017763765152033,-0.0255195377322455
0.128,6.5,-0.0169896760301802,-0.0134657101305009,-0.0205136419298596
0.128,6.6,-0.0133685885697392,-0.0102469618135072,-0.0164902153259712
0.128,6.7,-0.0100193608893712,-0.00723983041799551,-0.0127988913607468
0.128,6.8,-0.00734135817017526,-0.00483960172018248,-0.00984311462016805
0.128,6.9,-0.00572227513035621,-0.00351718047529386,-0.00792736978541856
0.128,7,-0.00443851207601529,-0.00250648017356354,-0.00637054397846703
0.128,7.1,-0.00349259182556385,-0.00182558635510445,-0.00515959729602324
0.128,7.2,-0.00281657460610792,-0.00140905435321532,-0.00422409485900053
0.128,7.3,-0.00223035355532069,-0.0010916527015194,-0.00336905440912199
0.128,7.4,-0.00162792882625153,-0.000757693465190884,-0.00249816418731218
0.128,7.5,-0.00101368426410173,-0.000398213854913419,-0.00162915467329004
0.128,7.6,-0.000559659058515084,-0.000169521600925123,-0.000949796516105046
0.128,7.7,-0.00023680820887541,-6.99836238847229e-05,-0.000403632793866097
0.128,7.8,0,0,0
0.128,7.9,0,0,0
0.128,8,0,0,0
0.128,8.1,0,0,0
0.128,8.2,0,0,0
0.128,8.3,0,0,0
0.128,8.4,0,0,0
0.128,8.5,0,0,0
0.128,8.6,0,0,0
0.128,8.7,0,0,0
0.128,8.8,0,0,0
0.128,8.9,0,0,0
0.128,9,0,0,0
0.128,9.1,0,0,0
0.128,9.2,0,0,0
0.128,9.3,0,0,0
0.128,9.4,0,0,0
0.128,9.5,0,0,0
0.128,9.6,0,0,0
0.128,9.7,0,0,0
0.128,9.8,0,0,0
0.128,9.9,0,0,0
0.128,10,0,0,0
0.128,10.1,0,0,0
0.128,10.2,0,0,0
0.128,10.3,0,0,0
0.128,10.4,0,0,0
