"tr","interference","event","mean_probability","sem_upper","sem_lower"
4,"forward",5,4.98969375677784,6.13371119993186,3.84567631362381
5,"forward",5,4.48744432018055,5.69884498243159,3.27604365792951
6,"forward",5,7.62338798784926,9.02811077445118,6.21866520124734
7,"forward",5,12.1098507154906,14.2603906023651,9.95931082861609
8,"forward",5,14.4716815353876,16.2963477275018,12.6470153432734
9,"forward",5,14.0272189204604,16.0699317011816,11.9845061397391
10,"forward",5,14.0552211386242,15.954905374935,12.1555369023135
11,"forward",5,12.4041430098188,14.2832028021326,10.525083217505
12,"forward",5,9.58087653697766,11.3115891833828,7.85016389057251
13,"forward",5,11.3523069014115,13.5535426144066,9.15107118841632
1,"backward",4,8.14464660086179,9.71336074132962,6.57593246039395
2,"backward",4,11.1824733730096,13.2096190806963,9.15532766532296
3,"backward",4,9.45604945103523,10.9998383374479,7.91226056462256
4,"backward",4,7.00252666681098,8.58549301217935,5.4195603214426
5,"backward",4,5.59672572823934,7.04234447579159,4.15110698068708
6,"backward",4,7.22321533762546,8.68162473828733,5.76480593696359
7,"backward",4,8.2514545178749,9.6657908064985,6.83711822925129
8,"backward",4,9.31188626159804,10.9895218195306,7.63425070366544
9,"backward",4,10.0973488886384,11.8714184941517,8.32327928312504
10,"backward",4,10.2120665784888,12.0514348863579,8.37269827061967
11,"backward",4,10.8311434852102,12.3429607234829,9.31932624693743
12,"backward",4,13.7189193905142,15.8874381331521,11.5504006478762
13,"backward",4,12.5165265625398,14.6336785525409,10.3993745725387
