"id","seq_tr","class","stim","mean_prob","current_stim"
"sub-02",5,"house","house",22.0706586449329,1
"sub-02",6,"house","house",20.1873449716386,1
"sub-02",7,"house","house",28.4029189708081,1
"sub-02",1,"house","cat",29.9555452713666,0
"sub-02",2,"house","cat",22.3784175534658,0
"sub-02",3,"house","cat",22.3165849221693,0
"sub-02",4,"house","cat",23.6552541407773,0
"sub-02",5,"house","cat",19.8874700224446,0
"sub-02",6,"house","cat",22.3704938338278,0
"sub-02",7,"house","cat",24.0195834104999,0
"sub-02",1,"house","shoe",26.7246269726275,0
"sub-02",2,"house","shoe",31.4617328344577,0
"sub-02",3,"house","shoe",31.4582229447543,0
"sub-02",4,"house","shoe",24.1903306927967,0
"sub-02",5,"house","shoe",32.9398387001084,0
"sub-02",6,"house","shoe",23.1383543867687,0
"sub-02",7,"house","shoe",22.6287143457242,0
"sub-02",1,"shoe","face",28.0715382602414,0
"sub-02",2,"shoe","face",30.7599256775657,0
"sub-02",3,"shoe","face",22.9580449795105,0
"sub-02",4,"shoe","face",26.6609831282015,0
"sub-02",5,"shoe","face",25.0585703580685,0
"sub-02",6,"shoe","face",20.8413408408911,0
"sub-02",7,"shoe","face",25.6586685076781,0
"sub-02",1,"shoe","chair",25.9953151385737,0
"sub-02",2,"shoe","chair",25.7591712010108,0
"sub-02",3,"shoe","chair",29.3794229059471,0
"sub-02",4,"shoe","chair",26.3633458745052,0
"sub-02",5,"shoe","chair",20.0290392542032,0
"sub-02",6,"shoe","chair",28.1676383575,0
"sub-02",7,"shoe","chair",18.2820639153128,0
"sub-02",1,"shoe","house",21.9979651432107,0
"sub-02",2,"shoe","house",26.550744891588,0
"sub-02",3,"shoe","house",23.6717606028026,0
"sub-02",4,"shoe","house",25.0393973554066,0
"sub-02",5,"shoe","house",21.0862275299986,0
"sub-02",6,"shoe","house",29.8255428138471,0
"sub-02",7,"shoe","house",23.6735036439075,0
"sub-02",1,"shoe","cat",26.7712464718767,0
"sub-02",2,"shoe","cat",28.6925708742375,0
"sub-02",3,"shoe","cat",29.0043353346478,0
"sub-02",4,"shoe","cat",29.2993304539945,0
"sub-02",5,"shoe","cat",32.2283887040446,0
"sub-02",6,"shoe","cat",20.3244053302317,0
"sub-02",7,"shoe","cat",22.8427358505534,0
"sub-02",1,"shoe","shoe",25.2358290937038,1
"sub-02",2,"shoe","shoe",25.9551834357767,1
"sub-02",3,"shoe","shoe",19.0012425443618,1
"sub-02",4,"shoe","shoe",21.8594193505346,1
"sub-02",5,"shoe","shoe",25.3933122916594,1
"sub-02",6,"shoe","shoe",27.5227564378299,1
"sub-02",7,"shoe","shoe",21.7765761502372,1
"sub-03",1,"cat","cat",24.4586445298256,1
"sub-03",2,"cat","cat",21.6882308306574,1
"sub-03",3,"cat","cat",27.4173933039733,1
"sub-03",4,"cat","cat",24.9545507824313,1
"sub-03",5,"cat","cat",21.9612972959352,1
"sub-03",6,"cat","cat",25.7834495943131,1
"sub-03",7,"cat","cat",23.0784479578623,1
"sub-03",1,"cat","face",25.0063566345009,0
"sub-03",2,"cat","face",23.876766440325,0
"sub-03",3,"cat","face",28.7635751684921,0
"sub-03",4,"cat","face",20.9730826578324,0
"sub-03",5,"cat","face",26.9699950772923,0
"sub-03",6,"cat","face",23.6180718356841,0
"sub-03",7,"cat","face",26.031881583879,0
"sub-03",1,"cat","house",25.0865320656476,0
"sub-03",2,"cat","house",25.8019360325799,0
"sub-03",3,"cat","house",24.2041003847287,0
"sub-03",4,"cat","house",20.9706767686845,0
"sub-03",5,"cat","house",23.4390083147532,0
"sub-03",6,"cat","house",24.9851867086871,0
"sub-03",7,"cat","house",25.170688438003,0
"sub-03",1,"cat","chair",27.2945133585673,0
"sub-03",2,"cat","chair",17.033126511907,0
"sub-03",3,"cat","chair",18.5711977584594,0
"sub-03",4,"cat","chair",27.3520819721463,0
"sub-03",5,"cat","chair",25.3846985573338,0
"sub-03",6,"cat","chair",24.0391567911212,0
"sub-03",7,"cat","chair",25.1026445179017,0
"sub-03",1,"cat","shoe",21.1117950205267,0
"sub-03",2,"cat","shoe",21.3014011938562,0
"sub-03",3,"cat","shoe",21.8501887204803,0
"sub-03",4,"cat","shoe",33.003143715428,0
"sub-03",5,"cat","shoe",22.315719712713,0
"sub-03",6,"cat","shoe",26.2325894336205,0
"sub-03",7,"cat","shoe",31.1123140850412,0
"sub-03",1,"chair","cat",23.8578667225672,0
"sub-03",2,"chair","cat",23.0673032275289,0
"sub-03",3,"chair","cat",27.113817638809,0
"sub-03",4,"chair","cat",33.5430640152223,0
"sub-03",5,"chair","cat",28.8126238089533,0
"sub-03",6,"chair","cat",30.1994522629361,0
"sub-03",7,"chair","cat",27.3239496656677,0
"sub-03",1,"chair","face",20.1123689016723,0
"sub-03",2,"chair","face",27.1135844850684,0
"sub-03",3,"chair","face",31.9759344590076,0
"sub-03",4,"chair","face",23.5812857266978,0
"sub-03",5,"chair","face",27.9599929950437,0
"sub-03",6,"chair","face",23.5497650210256,0
"sub-03",7,"chair","face",23.7305045325076,0
"sub-03",1,"chair","house",22.2320615087342,0
"sub-03",2,"chair","house",23.3997698406673,0
"sub-03",3,"chair","house",27.4166486505885,0
"sub-03",4,"chair","house",27.6971127161617,0
"sub-03",5,"chair","house",27.8373488906246,0
"sub-03",6,"chair","house",31.3164876247579,0
"sub-03",7,"chair","house",29.5718264301051,0
"sub-03",1,"chair","chair",24.0153290513499,1
"sub-03",2,"chair","chair",25.1357610695453,1
"sub-03",3,"chair","chair",21.6859891578984,1
"sub-03",4,"chair","chair",28.248807768344,1
"sub-03",5,"chair","chair",28.2442519598739,1
"sub-03",6,"chair","chair",30.220335162727,1
"sub-03",7,"chair","chair",27.7565948630553,1
"sub-03",1,"chair","shoe",32.1161137400756,0
"sub-03",2,"chair","shoe",33.0925267345816,0
"sub-03",3,"chair","shoe",21.9753560141207,0
"sub-03",4,"chair","shoe",21.9205673702393,0
"sub-03",5,"chair","shoe",21.1328435806788,0
"sub-03",6,"chair","shoe",26.6521579284338,0
"sub-03",7,"chair","shoe",22.0152153370176,0
"sub-03",1,"face","cat",30.0191520068934,0
"sub-03",2,"face","cat",28.8872544380176,0
"sub-03",3,"face","cat",29.412573511867,0
"sub-03",4,"face","cat",23.7110402899617,0
"sub-03",5,"face","cat",32.6594663178125,0
"sub-03",6,"face","cat",22.8469454344651,0
"sub-03",7,"face","cat",26.9624028642063,0
"sub-03",1,"face","face",31.1433498312345,1
"sub-03",2,"face","face",33.3539782678885,1
"sub-03",3,"face","face",20.378076352992,1
"sub-03",4,"face","face",24.4969111254716,1
"sub-03",5,"face","face",22.0789040447085,1
"sub-03",6,"face","face",25.5626682193661,1
"sub-03",7,"face","face",23.9906336635751,1
"sub-03",1,"face","house",25.3098521194776,0
"sub-03",2,"face","house",24.9849955060804,0
"sub-03",3,"face","house",23.6038487947814,0
"sub-03",4,"face","house",33.1811135760002,0
"sub-03",5,"face","house",26.1856598765401,0
"sub-03",6,"face","house",25.058158119176,0
"sub-03",7,"face","house",28.559603271504,0
"sub-03",1,"face","chair",29.449064892581,0
"sub-03",2,"face","chair",19.7386071431419,0
"sub-03",3,"face","chair",29.5628757529535,0
"sub-03",4,"face","chair",22.4595671374414,0
"sub-03",5,"face","chair",28.3624970926264,0
"sub-03",6,"face","chair",24.7178979151996,0
"sub-03",7,"face","chair",21.4180657557151,0
"sub-03",1,"face","shoe",29.7498229632508,0
"sub-03",2,"face","shoe",27.1119555743032,0
"sub-03",3,"face","shoe",32.6215466571342,0
"sub-03",4,"face","shoe",23.3926125366674,0
"sub-03",5,"face","shoe",30.0842954726815,0
"sub-03",6,"face","shoe",22.0680352786317,0
"sub-03",7,"face","shoe",29.7657417039186,0
"sub-03",1,"house","cat",23.6160835802886,0
"sub-03",2,"house","cat",29.2841101354055,0
"sub-03",3,"house","cat",21.3622796519113,0
"sub-03",4,"house","cat",23.1818058329505,0
"sub-03",5,"house","cat",24.5700860519816,0
"sub-03",6,"house","cat",20.858522977062,0
"sub-03",7,"house","cat",23.4476176842017,0
"sub-03",1,"house","face",26.1322729735067,0
"sub-03",2,"house","face",20.2006642793133,0
"sub-03",3,"house","face",18.1545423468407,0
"sub-03",4,"house","face",37.8431799793017,0
"sub-03",5,"house","face",25.0804030103858,0
"sub-03",6,"house","face",25.5102035563638,0
"sub-03",7,"house","face",25.7332277378659,0
"sub-03",1,"house","house",22.5350081773646,1
"sub-03",2,"house","house",30.4740307099088,1
"sub-03",3,"house","house",23.4929462549878,1
"sub-03",4,"house","house",22.2680872423359,1
"sub-03",5,"house","house",27.9057836341002,1
"sub-03",6,"house","house",20.9720406058914,1
"sub-03",7,"house","house",24.9615133691805,1
