"t","event","probability"
1.1,"cosine_tails",NA
1.2,"cosine_tails",NA
1.3,"cosine_tails",NA
1.4,"cosine_tails",NA
1.5,"cosine_tails",NA
1.6,"cosine_tails",NA
1.7,"cosine_tails",NA
1.8,"cosine_tails",NA
1.9,"cosine_tails",NA
2,"cosine_tails",NA
2.1,"cosine_tails",NA
2.2,"cosine_tails",NA
2.3,"cosine_tails",NA
2.4,"cosine_tails",NA
2.5,"cosine_tails",NA
2.6,"cosine_tails",NA
2.7,"cosine_tails",NA
2.8,"cosine_tails",NA
2.9,"cosine_tails",NA
3,"cosine_tails",NA
3.1,"cosine_tails",NA
3.2,"cosine_tails",NA
3.3,"cosine_tails",NA
3.4,"cosine_tails",NA
3.5,"cosine_tails",NA
3.6,"cosine_tails",NA
3.7,"cosine_tails",NA
3.8,"cosine_tails",NA
3.9,"cosine_tails",NA
4,"cosine_tails",NA
4.1,"cosine_tails",NA
4.2,"cosine_tails",NA
4.3,"cosine_tails",NA
4.4,"cosine_tails",NA
4.5,"cosine_tails",NA
4.6,"cosine_tails",NA
4.7,"cosine_tails",NA
4.8,"cosine_tails",NA
4.9,"cosine_tails",NA
5,"cosine_tails",NA
5.1,"cosine_tails",NA
5.2,"cosine_tails",NA
5.3,"cosine_tails",NA
5.4,"cosine_tails",NA
5.5,"cosine_tails",NA
5.6,"cosine_tails",NA
5.7,"cosine_tails",NA
5.8,"cosine_tails",NA
5.9,"cosine_tails",NA
6,"cosine_tails",NA
6.1,"cosine_tails",NA
6.2,"cosine_tails",-0.593489232276209
6.3,"cosine_tails",-0.57703605798001
6.4,"cosine_tails",-0.560872020649734
6.5,"cosine_tails",-0.545200640251884
6.6,"cosine_tails",-0.530219233753038
6.7,"cosine_tails",-0.516116430719346
6.8,"cosine_tails",-0.503069798298322
6.9,"cosine_tails",-0.491243605486569
7,"cosine_tails",-0.480786754833356
7.1,"cosine_tails",-0.471830907621764
7.2,"cosine_tails",-0.464488826133101
7.3,"cosine_tails",-0.45885295386698
7.4,"cosine_tails",-0.454994251593372
7.5,"cosine_tails",-0.452961303891824
7.6,"cosine_tails",-0.452779707427308
7.7,"cosine_tails",-0.454451748664871
7.8,"cosine_tails",-0.457956375080957
7.9,"cosine_tails",-0.46324946023387
8,"cosine_tails",-0.470264359355906
0,"difference",-0.2
0.1,"difference",-0.2
0.2,"difference",-0.2
0.3,"difference",-0.2
0.4,"difference",-0.2
0.5,"difference",-0.2
0.6,"difference",-0.199761466642469
0.7,"difference",-0.196596280143139
0.8,"difference",-0.189795629378787
0.9,"difference",-0.17946274327008
1,"difference",-0.165754467495079
1.1,"difference",-0.149117417043723
1.2,"difference",-0.132495870759551
1.3,"difference",-0.116898987944157
1.4,"difference",-0.102563517907955
1.5,"difference",-0.0897070626349881
1.6,"difference",-0.078524773743453
1.7,"difference",-0.0691863902264067
1.8,"difference",-0.0618336619375992
1.9,"difference",-0.0565781979320345
2,"difference",-0.0534997723218828
2.1,"difference",-0.0526451133636163
2.2,"difference",-0.0540271941571422
2.3,"difference",-0.0576250357236048
2.4,"difference",-0.0633840254509892
2.5,"difference",-0.0712167460737573
2.6,"difference",-0.0810043026032087
2.7,"difference",-0.0925981270667291
2.8,"difference",-0.105822233661304
2.9,"difference",-0.120475890089706
3,"difference",-0.13633666453043
3.1,"difference",-0.153163801990575
3.2,"difference",-0.170701878791124
3.3,"difference",-0.188684679712173
3.4,"difference",-0.206839238945889
3.5,"difference",-0.224889983518474
3.6,"difference",-0.242562916286998
3.7,"difference",-0.25958977501628
3.8,"difference",-0.275712104404039
3.9,"difference",-0.290685179243964
4,"difference",-0.30428171917593
4.1,"difference",-0.316295338636167
4.2,"difference",-0.326543679639656
4.3,"difference",-0.334871179841397
4.4,"difference",-0.341151433859394
4.5,"difference",-0.345289112016199
4.6,"difference",-0.347221407373916
4.7,"difference",-0.346918989097734
4.8,"difference",-0.344386447676611
4.9,"difference",-0.339662225242998
5,"difference",-0.3328180320493
5.1,"difference",-0.323957757958518
5.2,"difference",-0.313215895471873
5.3,"difference",-0.300755498230682
5.4,"difference",-0.286765705980961
5.5,"difference",-0.271458873569966
5.6,"difference",-0.255067347554431
5.7,"difference",-0.238125919630365
5.8,"difference",-0.223614541489647
5.9,"difference",-0.212431842076029
6,"difference",-0.204747566613994
6.1,"difference",-0.200678356802924
6.2,"difference",-0.2
6.3,"difference",-0.2
6.4,"difference",-0.2
6.5,"difference",-0.2
6.6,"difference",-0.2
6.7,"difference",-0.2
6.8,"difference",-0.2
6.9,"difference",-0.2
7,"difference",-0.2
7.1,"difference",-0.2
7.2,"difference",-0.2
7.3,"difference",-0.2
7.4,"difference",-0.2
7.5,"difference",-0.2
7.6,"difference",-0.2
7.7,"difference",-0.2
7.8,"difference",-0.2
7.9,"difference",-0.2
8,"difference",-0.2
