"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"32 ms",0.195113314447592,1.01403911105216,1.05763291804793,0.970445304056401
"32 ms",0.195821529745042,1.01449582492426,1.0599025082178,0.96908914163072
"32 ms",0.196529745042493,1.01907071666647,1.0674073712837,0.970734062049237
"32 ms",0.197237960339943,1.01017402669452,1.0576427178454,0.962705335543645
"32 ms",0.197946175637394,0.982609628057104,1.02626058882655,0.938958667287656
"32 ms",0.198654390934844,0.971497533932025,1.01632452812537,0.926670539738677
"32 ms",0.199362606232295,0.938902202168143,0.982735758580964,0.895068645755322
"32 ms",0.200070821529745,0.922134322428556,0.964433480839013,0.879835164018098
"32 ms",0.200779036827196,0.910581491260613,0.949650873130628,0.871512109390599
"32 ms",0.201487252124646,0.911907685250052,0.953873364965433,0.869942005534671
"32 ms",0.202195467422096,0.908886458270221,0.953327065369664,0.864445851170777
"32 ms",0.202903682719547,0.912704236926311,0.957867311477397,0.867541162375225
"32 ms",0.203611898016997,0.913174714691092,0.95664580828166,0.869703621100523
"32 ms",0.204320113314448,0.910719194766049,0.954593430471462,0.866844959060635
"32 ms",0.205028328611898,0.906880371853865,0.951138718090426,0.862622025617305
"32 ms",0.205736543909348,0.911443280892397,0.95591261860227,0.866973943182524
"32 ms",0.206444759206799,0.91090160291074,0.957101426246525,0.864701779574956
"32 ms",0.207152974504249,0.91496981266664,0.962703069645258,0.867236555688022
"32 ms",0.2078611898017,0.900596298065173,0.947985265833427,0.85320733029692
"32 ms",0.20856940509915,0.892923910324803,0.941378507534981,0.844469313114625
"32 ms",0.209277620396601,0.879504751429161,0.925014333344234,0.833995169514089
"32 ms",0.209985835694051,0.874277211979813,0.919424545723309,0.829129878236317
"32 ms",0.210694050991501,0.86031616171831,0.902837044562858,0.817795278873761
"32 ms",0.211402266288952,0.837966547479187,0.879648315984084,0.79628477897429
"32 ms",0.212110481586402,0.829693519604638,0.872112093614508,0.787274945594768
"32 ms",0.212818696883853,0.822312035793778,0.862589542405289,0.782034529182268
"32 ms",0.213526912181303,0.809941421606779,0.850539700994971,0.769343142218587
"32 ms",0.214235127478754,0.822404459446385,0.866962177314893,0.777846741577877
"32 ms",0.214943342776204,0.820446238808968,0.866039503923203,0.774852973694734
"32 ms",0.215651558073654,0.807004999279557,0.850927509108774,0.763082489450341
"32 ms",0.216359773371105,0.810756027030505,0.852114989183414,0.769397064877596
"32 ms",0.217067988668555,0.805502537720208,0.849365245068685,0.761639830371731
"32 ms",0.217776203966006,0.799154653422772,0.842935787937778,0.755373518907766
"32 ms",0.218484419263456,0.798741049178961,0.842183225108557,0.755298873249366
"32 ms",0.219192634560907,0.810862474208345,0.855651121905937,0.766073826510753
"32 ms",0.219900849858357,0.817151148910909,0.864120194965568,0.77018210285625
"32 ms",0.220609065155807,0.813152031834423,0.861251860014609,0.765052203654237
"32 ms",0.221317280453258,0.805042961298342,0.8502692546555,0.759816667941183
"32 ms",0.222025495750708,0.787204362391218,0.829354787528345,0.74505393725409
"32 ms",0.222733711048159,0.777962649969563,0.818446459193628,0.737478840745498
"32 ms",0.223441926345609,0.769179856380368,0.808815020172519,0.729544692588218
"32 ms",0.22415014164306,0.768366785283191,0.811091574748092,0.725641995818291
"32 ms",0.22485835694051,0.780298466159799,0.822463177988625,0.738133754330973
"32 ms",0.22556657223796,0.762008101367342,0.803701590021557,0.720314612713126
"32 ms",0.226274787535411,0.750430625446114,0.789661152247294,0.711200098644933
"32 ms",0.226983002832861,0.741761885944896,0.781419171082916,0.702104600806876
"32 ms",0.227691218130312,0.735751938811953,0.776943038396332,0.694560839227574
"32 ms",0.228399433427762,0.73619599932918,0.777095674215655,0.695296324442705
"32 ms",0.229107648725212,0.743700440189716,0.784576419697457,0.702824460681974
"32 ms",0.229815864022663,0.743084071245686,0.785270698139782,0.700897444351591
"32 ms",0.230524079320113,0.745045774479832,0.78720214553989,0.702889403419774
"32 ms",0.231232294617564,0.750770581562708,0.794178926152291,0.707362236973125
"32 ms",0.231940509915014,0.741387786840338,0.78179943247052,0.700976141210157
"32 ms",0.232648725212465,0.733102092220034,0.774141628243059,0.692062556197008
"32 ms",0.233356940509915,0.736997188507729,0.77896734231458,0.695027034700877
"32 ms",0.234065155807365,0.734143271571942,0.774414237409614,0.69387230573427
"32 ms",0.234773371104816,0.739157761650304,0.781687554109824,0.696627969190784
"32 ms",0.235481586402266,0.735069595850952,0.775872849654184,0.694266342047721
"32 ms",0.236189801699717,0.713521930568825,0.75325544935949,0.673788411778161
"32 ms",0.236898016997167,0.702785182859277,0.7424139446461,0.663156421072454
"32 ms",0.237606232294618,0.708502679621124,0.749254870344482,0.667750488897765
"32 ms",0.238314447592068,0.709416631391703,0.751121652677205,0.667711610106202
"32 ms",0.239022662889518,0.69919558286743,0.737895134369801,0.660496031365059
"32 ms",0.239730878186969,0.688754206610359,0.726489302593811,0.651019110626907
"32 ms",0.240439093484419,0.689061028540005,0.724878198507805,0.653243858572205
"32 ms",0.24114730878187,0.687808879049359,0.725255988546334,0.650361769552384
"32 ms",0.24185552407932,0.683219715093109,0.721029175334635,0.645410254851584
"32 ms",0.242563739376771,0.687520019752025,0.726415953894928,0.648624085609123
"32 ms",0.243271954674221,0.684978736791023,0.725330716206795,0.644626757375251
"32 ms",0.243980169971671,0.687478851381422,0.725519531612371,0.649438171150472
"32 ms",0.244688385269122,0.693989337895736,0.737030928975004,0.650947746816468
"32 ms",0.245396600566572,0.686291489574229,0.728543889472776,0.644039089675682
"32 ms",0.246104815864023,0.680609213159993,0.721478064173826,0.63974036214616
"32 ms",0.246813031161473,0.675284116468999,0.716107726204568,0.634460506733431
"32 ms",0.247521246458924,0.674208365874745,0.715206007367168,0.633210724382321
"32 ms",0.248229461756374,0.67900632689485,0.719523678155347,0.638488975634353
"32 ms",0.248937677053824,0.663592768703661,0.703592619419098,0.623592917988225
"32 ms",0.249645892351275,0.659067925418907,0.697783571195269,0.620352279642546
"32 ms",0.250354107648725,0.654263449412532,0.69098036969527,0.617546529129795
"32 ms",0.251062322946176,0.648320933174986,0.682833321439138,0.613808544910834
"32 ms",0.251770538243626,0.648273259046648,0.684355716353426,0.612190801739871
"32 ms",0.252478753541076,0.647966789483799,0.683076967300921,0.612856611666678
"32 ms",0.253186968838527,0.642672768279736,0.677358500664309,0.607987035895162
"32 ms",0.253895184135977,0.632912064245679,0.667652123068346,0.598172005423012
"32 ms",0.254603399433428,0.636704919411946,0.675692647998612,0.597717190825279
"32 ms",0.255311614730878,0.631210930236766,0.670546913930388,0.591874946543144
"32 ms",0.256019830028329,0.637591028520976,0.678983556348405,0.596198500693547
"32 ms",0.256728045325779,0.646679469705878,0.687924629663018,0.605434309748738
"32 ms",0.257436260623229,0.63712309578323,0.676116858855391,0.598129332711069
"32 ms",0.25814447592068,0.632735427024603,0.67003984055864,0.595431013490565
"32 ms",0.25885269121813,0.631795650760011,0.670888975410346,0.592702326109677
"32 ms",0.259560906515581,0.631248036297886,0.669134216767592,0.59336185582818
