"id","speed","snr","snr_char","insert","index","power","label"
"sub-10","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.00758647916774146,"0.07"
"sub-10","32 ms",0.25,"1/4","6 inserts","power_index_fast",0.20171400463882,"0.17"
"sub-10","32 ms",0.25,"1/4","6 inserts","power_index_slow",-0.0851906302484341,"0.07"
"sub-10","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.158102028127228,"0.17"
"sub-10","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.00943052915986264,"0.07"
"sub-10","32 ms",0.5,"1/2","6 inserts","power_index_fast",0.545476762462359,"0.17"
"sub-10","32 ms",0.5,"1/2","6 inserts","power_index_slow",-0.10697940536062,"0.07"
"sub-10","32 ms",0.8,"4/5","2 inserts","power_index_fast",0.286397089688681,"0.17"
"sub-10","32 ms",0.8,"4/5","2 inserts","power_index_slow",0.00338189339502408,"0.07"
"sub-10","32 ms",0.8,"4/5","6 inserts","power_index_fast",1.04528134204882,"0.17"
"sub-10","32 ms",0.8,"4/5","6 inserts","power_index_slow",-0.00315529025106182,"0.07"
"sub-11","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-11","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-11","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-11","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-11","2048 ms",0.125,"1/8","2 inserts","power_index_fast",-0.0152948163676511,"0.17"
"sub-11","2048 ms",0.125,"1/8","2 inserts","power_index_slow",0.0216484585209593,"0.07"
"sub-11","2048 ms",0.125,"1/8","6 inserts","power_index_fast",-0.0595249634667444,"0.17"
"sub-11","2048 ms",0.125,"1/8","6 inserts","power_index_slow",0.116666290560342,"0.07"
"sub-11","2048 ms",0.25,"1/4","2 inserts","power_index_fast",-0.0333763184066562,"0.17"
"sub-11","2048 ms",0.25,"1/4","2 inserts","power_index_slow",0.0399993111941134,"0.07"
"sub-11","2048 ms",0.25,"1/4","6 inserts","power_index_fast",-0.117383377515444,"0.17"
"sub-11","2048 ms",0.25,"1/4","6 inserts","power_index_slow",0.254401277709597,"0.07"
"sub-11","2048 ms",0.5,"1/2","2 inserts","power_index_fast",-0.0765324574228943,"0.17"
"sub-11","2048 ms",0.5,"1/2","2 inserts","power_index_slow",0.0651102207594383,"0.07"
"sub-11","2048 ms",0.5,"1/2","6 inserts","power_index_fast",-0.211250987383231,"0.17"
"sub-11","2048 ms",0.5,"1/2","6 inserts","power_index_slow",0.563149239128608,"0.07"
"sub-11","2048 ms",0.8,"4/5","2 inserts","power_index_fast",-0.136044810559513,"0.17"
"sub-11","2048 ms",0.8,"4/5","2 inserts","power_index_slow",0.0732597534831203,"0.07"
"sub-11","2048 ms",0.8,"4/5","6 inserts","power_index_fast",-0.258117185591319,"0.17"
"sub-11","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.897163433226125,"0.07"
"sub-11","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-11","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-11","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-11","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-11","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0210618967812248,"0.17"
"sub-11","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.0136864756448163,"0.07"
"sub-11","32 ms",0.125,"1/8","6 inserts","power_index_fast",-0.030319024878083,"0.17"
"sub-11","32 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0285303490371758,"0.07"
"sub-11","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0431977572634052,"0.17"
"sub-11","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.0297001690977657,"0.07"
"sub-11","32 ms",0.25,"1/4","6 inserts","power_index_fast",-0.0508064199429057,"0.17"
"sub-11","32 ms",0.25,"1/4","6 inserts","power_index_slow",-0.0430417068506782,"0.07"
"sub-11","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.0889903136415256,"0.17"
"sub-11","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.0678149600013179,"0.07"
"sub-11","32 ms",0.5,"1/2","6 inserts","power_index_fast",-0.0478483965826532,"0.17"
"sub-11","32 ms",0.5,"1/2","6 inserts","power_index_slow",-0.0144945595945535,"0.07"
"sub-11","32 ms",0.8,"4/5","2 inserts","power_index_fast",0.142005074078832,"0.17"
"sub-11","32 ms",0.8,"4/5","2 inserts","power_index_slow",0.120685042428806,"0.07"
"sub-11","32 ms",0.8,"4/5","6 inserts","power_index_fast",0.0371712266709702,"0.17"
"sub-11","32 ms",0.8,"4/5","6 inserts","power_index_slow",0.117075883042388,"0.07"
"sub-12","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-12","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-12","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-12","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-12","2048 ms",0.125,"1/8","2 inserts","power_index_fast",-0.0199153291383108,"0.17"
"sub-12","2048 ms",0.125,"1/8","2 inserts","power_index_slow",0.000533235303015411,"0.07"
"sub-12","2048 ms",0.125,"1/8","6 inserts","power_index_fast",-0.0156042121310796,"0.17"
"sub-12","2048 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0105652177473535,"0.07"
"sub-12","2048 ms",0.25,"1/4","2 inserts","power_index_fast",-0.0414225845696237,"0.17"
"sub-12","2048 ms",0.25,"1/4","2 inserts","power_index_slow",0.00821040231789256,"0.07"
"sub-12","2048 ms",0.25,"1/4","6 inserts","power_index_fast",-0.0369628828033474,"0.17"
"sub-12","2048 ms",0.25,"1/4","6 inserts","power_index_slow",-0.000195571033445641,"0.07"
"sub-12","2048 ms",0.5,"1/2","2 inserts","power_index_fast",-0.0875984477980142,"0.17"
"sub-12","2048 ms",0.5,"1/2","2 inserts","power_index_slow",0.0464076201255397,"0.07"
"sub-12","2048 ms",0.5,"1/2","6 inserts","power_index_fast",-0.0957080650082246,"0.17"
"sub-12","2048 ms",0.5,"1/2","6 inserts","power_index_slow",0.0951288838192721,"0.07"
"sub-12","2048 ms",0.8,"4/5","2 inserts","power_index_fast",-0.143580035445922,"0.17"
"sub-12","2048 ms",0.8,"4/5","2 inserts","power_index_slow",0.130501200782375,"0.07"
"sub-12","2048 ms",0.8,"4/5","6 inserts","power_index_fast",-0.181229202585051,"0.17"
"sub-12","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.329658026217575,"0.07"
