"id","stim","seq_tr","mean_probability"
"sub-18","house",7,0.127833754463327
"sub-18","shoe",1,0.0666736549949133
"sub-18","shoe",2,0.129986771993487
"sub-18","shoe",3,0.40538235004267
"sub-18","shoe",4,0.578064848684786
"sub-18","shoe",5,0.496993960549039
"sub-18","shoe",6,0.284014889802617
"sub-18","shoe",7,0.195513811016837
"sub-19","cat",1,0.117033091927784
"sub-19","cat",2,0.0625116367314349
"sub-19","cat",3,0.202155977141257
"sub-19","cat",4,0.546783758337366
"sub-19","cat",5,0.530514135314364
"sub-19","cat",6,0.336467313834012
"sub-19","cat",7,0.125470729352228
"sub-19","chair",1,0.104459576987362
"sub-19","chair",2,0.11240218547358
"sub-19","chair",3,0.280324446049981
"sub-19","chair",4,0.484257576407693
"sub-19","chair",5,0.489133960564717
"sub-19","chair",6,0.249818577590332
"sub-19","chair",7,0.129995614176108
"sub-19","face",1,0.0659216428932342
"sub-19","face",2,0.0485776646927622
"sub-19","face",3,0.264422858663696
"sub-19","face",4,0.599485418043555
"sub-19","face",5,0.494349781700787
"sub-19","face",6,0.30900081079356
"sub-19","face",7,0.0839363999998223
"sub-19","house",1,0.0384302394551642
"sub-19","house",2,0.0819480894402822
"sub-19","house",3,0.409062192764552
"sub-19","house",4,0.744151338379278
"sub-19","house",5,0.619400422136733
"sub-19","house",6,0.21837370498765
"sub-19","house",7,0.0528228379276653
"sub-19","shoe",1,0.0515687239268912
"sub-19","shoe",2,0.0655823916674077
"sub-19","shoe",3,0.318517878930787
"sub-19","shoe",4,0.600263179833457
"sub-19","shoe",5,0.575831627360356
"sub-19","shoe",6,0.21767895337212
"sub-19","shoe",7,0.0817945790815032
"sub-20","cat",1,0.0731938706668059
"sub-20","cat",2,0.111444865373491
"sub-20","cat",3,0.507978776582471
"sub-20","cat",4,0.600377909488471
"sub-20","cat",5,0.332722909594136
"sub-20","cat",6,0.0828461566528496
"sub-20","cat",7,0.0424400266693075
"sub-20","chair",1,0.0352786904967986
"sub-20","chair",2,0.110204371632344
"sub-20","chair",3,0.467501437176402
"sub-20","chair",4,0.634822129831649
"sub-20","chair",5,0.280478188967925
"sub-20","chair",6,0.115194807377234
"sub-20","chair",7,0.0358517976947398
"sub-20","face",1,0.0582403717602831
"sub-20","face",2,0.132562313449932
"sub-20","face",3,0.498307012633448
"sub-20","face",4,0.634420685964543
"sub-20","face",5,0.292721165425919
"sub-20","face",6,0.0826595731131749
"sub-20","face",7,0.0679541394519774
"sub-20","house",1,0.0433515899268197
"sub-20","house",2,0.136354939872044
"sub-20","house",3,0.536277603486331
