"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"2048 ms",77,0,0.0210478824445085,0.0326583180405177,0.00943744684849922
"2048 ms",78,0,-0.00459101048318475,0.00159669206946521,-0.0107787130358347
"2048 ms",79,0,-0.0169252123414141,-0.00949370615437254,-0.0243567185284556
"2048 ms",80,0,-0.0279349397045521,-0.0158489686204849,-0.0400209107886194
"2048 ms",81,0,-0.0470349118547752,-0.0326164266201762,-0.0614533970893742
"2048 ms",82,0,-0.0692423254330208,-0.0527558000168584,-0.0857288508491832
"2048 ms",83,0,-0.0573201504850208,-0.0409153347287946,-0.0737249662412471
"2048 ms",84,0,-0.0125327697105819,0.00235906263311015,-0.027424602054274
"2048 ms",85,1,0.00668898187795438,0.0195097857928603,-0.00613182203695153
"2048 ms",86,0,0.0577668438084003,0.075630854433183,0.0399028331836177
"2048 ms",87,0,0.0749447681099768,0.0914812846256727,0.0584082515942809
"2048 ms",88,0,0.054110412072012,0.0716635931543992,0.0365572309896249
"2048 ms",89,0,0.0401322797677879,0.0557702474963544,0.0244943120392214
"2048 ms",90,0,0.013259028782179,0.0252655950925412,0.00125246247181676
"2048 ms",91,0,-0.0162009627103469,-0.00824869763847732,-0.0241532277822165
"2048 ms",92,0,-0.018503959394571,-0.0068935566270746,-0.0301143621620674
"2048 ms",93,0,-0.0498457059383978,-0.0381543109342517,-0.0615371009425438
"2048 ms",94,0,-0.0709620374913423,-0.0567465860961067,-0.0851774888865779
"2048 ms",95,0,-0.033024555716214,-0.0176295224723771,-0.0484195889600509
"2048 ms",96,0,0.000358676938855915,0.0169891156720082,-0.0162717617942964
"2048 ms",97,1,0.0198851786390185,0.0387877493558472,0.000982607922189807
"2048 ms",98,0,0.0632181320221942,0.0807639365995197,0.0456723274448688
"2048 ms",99,0,0.0475733096027813,0.0638718628099353,0.0312747563956272
"2048 ms",100,0,0.0318500587971777,0.0478012508893813,0.0158988667049741
"2048 ms",101,0,0.0332453624282495,0.0481793775550502,0.0183113473014489
"2048 ms",102,0,0.0204449527687784,0.0314094326119455,0.00948047292561135
"2048 ms",103,0,-0.00646148989793179,0.0048663734230868,-0.0177893532189504
"2048 ms",104,0,-0.0395065197043506,-0.0250068229342723,-0.054006216474429
"2048 ms",105,0,-0.0514920720196775,-0.0352735483866338,-0.0677105956527213
"2048 ms",106,0,-0.0494412808172904,-0.0293232349501955,-0.0695593266843853
"2048 ms",107,0,-0.0370570750937297,-0.0228628125727245,-0.0512513376147349
"2048 ms",108,0,0.00414084961369812,0.0193581408648505,-0.0110764416374543
"2048 ms",109,1,-0.0172606343304927,-0.00611806777746342,-0.0284032008835219
"2048 ms",110,0,0.0212115712234139,0.0341522790751278,0.00827086337169992
"2048 ms",111,0,0.0435439888337618,0.0553216052237152,0.0317663724438084
"2048 ms",112,0,0.0357688703256996,0.0468317208737701,0.0247060197776291
"2048 ms",113,0,0.0433585989660676,0.0531802772247717,0.0335369207073634
"2048 ms",114,0,0.0156898281880995,0.026404233517389,0.0049754228588101
"2048 ms",115,0,-0.0188125645367101,-0.00589702279591677,-0.0317281062775034
"2048 ms",116,0,-0.0245684052725226,-0.0125113618420182,-0.036625448703027
"2048 ms",117,0,-0.0243530416318598,-0.0112477620517665,-0.0374583212119531
"2048 ms",118,0,-0.0470844773653154,-0.0310099564829136,-0.0631589982477173
"2048 ms",119,0,-0.0308677763716673,-0.0152980753807625,-0.0464374773625722
"2048 ms",120,0,-0.010727292463964,0.000759594085322201,-0.0222141790132502
"2048 ms",121,1,0.0321290656070917,0.0436160522352951,0.0206420789788884
"2048 ms",122,0,0.0232742049391809,0.0403455406032766,0.00620286927508516
"2048 ms",123,0,0.0609944034675741,0.0768960535947907,0.0450927533403575
"2048 ms",124,0,0.057412360243486,0.0726983434695496,0.0421263770174225
"2048 ms",125,0,0.0258440724237003,0.0379023088947935,0.013785835952607
"2048 ms",126,0,0.0155719027686126,0.0261914124767074,0.00495239306051775
"2048 ms",127,0,-0.00935960315094543,0.0014460831272443,-0.0201652894291352
"2048 ms",128,0,-0.0166970904492282,-0.00710734888493907,-0.0262868320135174
"2048 ms",129,0,-0.0546381132187674,-0.0428140676934082,-0.0664621587441267
"2048 ms",130,0,-0.0675773287247095,-0.0513136911419814,-0.0838409663074375
"2048 ms",131,0,-0.041842363965317,-0.0255891865255743,-0.0580955414050598
"2048 ms",132,0,0.0144160257711634,0.029150627624201,-0.000318576081874326
"2048 ms",133,1,0.00500830511993354,0.0186788572375558,-0.00866224699768875
"2048 ms",134,0,0.0298125009681751,0.0469955449429484,0.0126294569934019
"2048 ms",135,0,0.0667174732067933,0.0831995035784894,0.0502354428350972
"2048 ms",136,0,0.0473273933889012,0.0595620680684675,0.0350927187093349
"2048 ms",137,0,0.0183207638408771,0.031206183220795,0.00543534446095921
"2048 ms",138,0,0.0194676506158158,0.0291696129166848,0.00976568831494686
"2048 ms",139,0,-0.00356695289220488,0.0128290601821681,-0.0199629659665779
"2048 ms",140,0,-0.0233574179395597,-0.00838397270519474,-0.0383308631739247
"2048 ms",141,0,-0.044423979883345,-0.0268052012012894,-0.0620427585654005
"2048 ms",142,0,-0.0545258225349024,-0.0378869627984754,-0.0711646822713294
"2048 ms",143,0,-0.0204320443008506,-0.0046094215891474,-0.0362546670125538
"2048 ms",144,0,0.0138906578349094,0.0289588498036053,-0.00117753413378646
"2048 ms",145,1,0.0214089740203351,0.0369904928106508,0.00582745523001946
"2048 ms",146,0,0.0383190481410979,0.0555489144719082,0.0210891818102877
"2048 ms",147,0,0.0533207948062617,0.0697227063945387,0.0369188832179847
"2048 ms",148,0,0.053194654862767,0.0670965588127316,0.0392927509128023
"2048 ms",149,0,0.0182187056491997,0.0309629324768419,0.0054744788215575
"2048 ms",150,0,0.00815385842808035,0.0238182219867033,-0.00751050513054262
"2048 ms",151,0,-0.0122549495969197,-0.00316586432274946,-0.0213440348710899
"2048 ms",152,0,-0.0133298855692849,0.000967187726134218,-0.027626958864704
"2048 ms",153,0,-0.0581557104296941,-0.0423979684449091,-0.0739134524144791
"2048 ms",154,0,-0.0652036014971652,-0.0484826157616395,-0.0819245872326909
"2048 ms",155,0,-0.0337466107265837,-0.0184108619344109,-0.0490823595187565
"2048 ms",156,0,0.00218136794769704,0.0163904799556138,-0.0120277440602197
"2048 ms",157,1,0.00659979562030976,0.0187105819365088,-0.00551099069588927
"2048 ms",158,0,0.0310327552106178,0.0469973588525073,0.0150681515687282
"2048 ms",159,0,0.0576179976172492,0.0723323104141593,0.042903684820339
"2048 ms",160,0,0.0645261723336775,0.0767725639562749,0.0522797807110801
"2048 ms",161,0,0.0157660841723918,0.0267709471212956,0.00476122122348803
"2048 ms",162,0,-0.0103971741186447,0.00172691987126619,-0.0225212681085555
"2048 ms",163,0,-0.0219066958512245,-0.0119364805789426,-0.0318769111235063
"2048 ms",164,0,-0.0314621203640526,-0.0187545946870892,-0.044169646041016
"2048 ms",165,0,-0.0610890386069862,-0.0464855373422329,-0.0756925398717395
"2048 ms",166,0,-0.0430221414215714,-0.0309919697585174,-0.0550523130846255
"2048 ms",167,0,-0.0179857737048273,-0.00317326370792033,-0.0327982837017342
"2048 ms",168,0,-0.0163769271152333,-0.00148352373067652,-0.03127033049979
"2048 ms",169,1,0.0222559944821723,0.0383569806476379,0.00615500831670675
"2048 ms",170,0,0.0549282855520826,0.0704610692821977,0.0393955018219676
"2048 ms",171,0,0.0685860370850532,0.084175619697129,0.0529964544729775
"2048 ms",172,0,0.0471853548953346,0.0596953294984273,0.0346753802922418
"2048 ms",173,0,0.0301217402358569,0.0434751505048915,0.0167683299668222
"2048 ms",174,0,0.0233574121455899,0.0331401018935581,0.0135747223976217
"2048 ms",175,0,-0.0137743826853375,-0.00392583394716808,-0.0236229314235069
"2048 ms",176,0,-0.0460342659450049,-0.0359802456737287,-0.056088286216281
"2048 ms",177,0,-0.0746261056558069,-0.0581181857997137,-0.0911340255119
"2048 ms",178,0,-0.0544548637961985,-0.0405233659206058,-0.0683863616717912
"2048 ms",179,0,-0.0504705971760299,-0.0337222751550094,-0.0672189191970504
"2048 ms",180,0,-0.00892730817226903,0.00669725240366048,-0.0245518687481985
"Rest Pre S1",1,NA,-0.0377058116902254,-0.0243579367848905,-0.0510536865955603
"Rest Pre S1",2,NA,-0.000356836256457815,0.0146631523319443,-0.0153768248448599
