"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.128","forward",2,0.0277777777777778,0.121455558204613,1.58722732076288,35,0.26,0.0452785966046782,0.0102769589508773,0.157892225665997,"p = .12","p = .16",""
"0.128","forward",3,0.0751851851851852,0.0018540921679173,3.36782624892707,35,0.56,0.0975097291574693,0.052860641212901,0.00401719969715414,"p = .002","p = .004","*"
"0.128","forward",4,-0.01,0.69162241509101,-0.399952036846815,35,0.07,0.0150029980565647,-0.0350029980565647,0.749257616348595,"p = .69","p = .75",""
"0.512","forward",2,0.042962962962963,0.0435937318639214,2.09375171924023,35,0.35,0.0634825702154184,0.0224433557105075,0.060719840810462,"p = .04","p = .06",""
"0.512","forward",3,0.19037037037037,1.28384633750943e-09,8.16458026046708,35,1.36,0.21368698485601,0.167053755884731,6.25875089535847e-09,"p < .001","p < .001","*"
"0.512","forward",4,0.158148148148148,6.49883947951775e-06,5.29843791502296,35,0.88,0.187996218595429,0.128300077700867,2.11212283084327e-05,"p < .001","p < .001","*"
"0.512","forward",5,-0.0262962962962963,0.340804974583486,-0.965730412210761,35,0.16,0.000933141612880165,-0.0535257342054727,0.415356062773624,"p = .34","p = .42",""
"2.048","forward",2,0.0459259259259259,0.0293121462132674,2.27241949945764,35,0.38,0.0661360701958933,0.0257157816559586,0.0457269480926972,"p = .03","p = .05","*"
"2.048","forward",3,0.208518518518518,8.06912615194427e-13,10.919914451491,35,1.82,0.227613770541308,0.189423266495729,6.29391839851653e-12,"p < .001","p < .001","*"
"2.048","forward",4,0.291481481481481,1.60119527987835e-16,14.6745634836063,35,2.45,0.311344524208927,0.271618438754036,2.08155386384186e-15,"p < .001","p < .001","*"
"2.048","forward",5,0.281111111111111,1.3752088657655e-15,13.6573034755509,35,2.28,0.30169431859525,0.260527903626972,1.34082864412136e-14,"p < .001","p < .001","*"
"2.048","forward",6,0.186666666666667,4.0703479304772e-09,7.76295969278476,35,1.29,0.210712478322775,0.162620855010558,1.58743569288611e-08,"p < .001","p < .001","*"
"2.048","forward",7,0.0681481481481481,0.00321977004686742,3.16323882258032,35,0.53,0.0896919366416639,0.0466043596546324,0.00627855159139147,"p = .003","p = .006","*"
