"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.512","excluded",12,-0.0106481481481481,0.68993489833901,-0.402265497284171,35,0.07,0.0158223003989864,-0.0371185966952827,NA,"p = .69","p = NA",NA
"0.512","excluded",13,0.00740740740740741,0.775343597222558,0.287607150413512,35,0.05,0.0331627038134852,-0.0183478889986704,NA,"p = .78","p = NA",NA
"2.048","excluded",1,-0.0310185185185185,0.29370312002197,-1.06604290531274,35,0.18,-0.00192164224465146,-0.0601153947923856,NA,"p = .29","p = NA",NA
"0.032","forward",2,0.0421296296296296,0.0559118884641823,1.97741999070105,35,0.33,0.0634349819714422,0.020824277287817,0.0778772732179682,"p = .06","p = .08",""
"0.032","forward",3,0.0939814814814815,0.00367179085689611,3.11374179502632,35,0.52,0.124164292924486,0.0637986700384771,0.00715999217094742,"p = .004","p = .007","*"
"0.032","forward",4,-0.0453703703703704,0.195582325328922,-1.31945915692781,35,0.22,-0.0109847888749874,-0.0797559518657533,0.238365958994624,"p = .20","p = .24",""
"0.064","forward",2,0.0337962962962963,0.202047761109232,1.30014670740301,35,0.22,0.0597905137979526,0.00780207879463993,0.238783717674547,"p = .20","p = .24",""
"0.064","forward",3,0.0606481481481481,0.0639356972983747,1.91316466259379,35,0.32,0.0923485811186819,0.0289477151776144,0.085982489470228,"p = .06","p = .09",""
"0.064","forward",4,-0.0199074074074074,0.566491923326137,-0.57870812787189,35,0.1,0.0144923296078887,-0.0543071444227036,0.631233857420553,"p = .57","p = .63",""
"0.128","forward",2,0.0509259259259259,0.0328172151283187,2.22236151491834,35,0.37,0.0738411562266977,0.0280106956251541,0.0474026440742381,"p = .03","p = .05","*"
"0.128","forward",3,0.0912037037037037,0.00879402486567771,2.77521420299844,35,0.46,0.124067366481576,0.058340040925831,0.0155894077164287,"p = .009","p = .02","*"
"0.128","forward",4,-0.00787037037037037,0.812947930054267,-0.238417213704064,35,0.04,0.0251405446055066,-0.0408812853462474,0.834341296634642,"p = .81","p = .83",""
"0.512","forward",2,0.0611111111111111,0.0262226512797073,2.32121535245401,35,0.39,0.0874383155415419,0.0347839066806803,0.0426118083295243,"p = .03","p = .04","*"
"0.512","forward",3,0.252777777777778,8.61506767909819e-11,9.13267515001401,35,1.52,0.280456171416622,0.225099384138934,5.59979399141382e-10,"p < .001","p < .001","*"
"0.512","forward",4,0.199074074074074,1.0622168270885e-05,5.13633928469023,35,0.86,0.237832042159915,0.160316105988233,2.95903258974652e-05,"p < .001","p < .001","*"
"0.512","forward",5,-0.0300925925925926,0.419745750419886,-0.816484617870783,35,0.14,0.00676369585907187,-0.066948881044257,0.481473066658104,"p = .42","p = .48",""
"2.048","forward",2,0.0462962962962963,0.0994478656166843,1.69243748420639,35,0.28,0.0736511006706543,0.0189414919219383,0.125111830937119,"p = .10","p = .13",""
"2.048","forward",3,0.263425925925926,4.19163357073088e-11,9.39827596846507,35,1.57,0.291455101362977,0.235396750488875,3.26947418517009e-10,"p < .001","p < .001","*"
"2.048","forward",4,0.389814814814815,1.07487813755773e-17,16.0295193766624,35,2.67,0.41413337394656,0.36549625568307,2.09601236823757e-16,"p < .001","p < .001","*"
"2.048","forward",5,0.351851851851852,3.61389212608178e-14,12.2053795703246,35,2.03,0.380679456091815,0.323024247611889,3.52354482292974e-13,"p < .001","p < .001","*"
"2.048","forward",6,0.239814814814815,5.8520345076028e-10,8.4418771985802,35,1.41,0.268222574033955,0.211407055595675,2.85286682245636e-09,"p < .001","p < .001","*"
"2.048","forward",7,0.10787037037037,0.000827349183442635,3.6587002835914,35,0.61,0.13735361906777,0.0783871216729711,0.00201666363464142,"p < .001","p = .002","*"
